Roll,First Name,Last Name,Email
8,Shivam,Gupta,shivam.gupta@gmail.com
9,Mala,Das,mala.yadav@gmail.com
10,Vishnu,,vishnu.jain@gmail.com
11,Mohan,Bhardwaj,mohan.bhardwaj@gmail.com
12,7,Navika,,navika.kumar@gmail.com
13,Satwik,Upadhyay,satwik.upadhyay@gmail.com
14,Vasu,Saxena,vasu.saxena@gmail.com
15,Krishna,Bhargav,krishna.bhargav@gmail.com
16,Aditi,Kumari,Pandey,aditi.kumari@gmail.com
17,Shiva,,shiva.1998@gmail.com
18,Lakshya,Ahuja,lakshya@ahuja@gmail.com
19,Jyoti,Singh,jyoti.singh@gmail.com
